label_idx,label,support,tp,fp,fn,precision,recall,f1,acc
0,airplane,1000,948,67,52,0.9339901477832512,0.948,0.9409429280397023,0.948
1,automobile,1000,981,39,19,0.961764705882353,0.981,0.9712871287128713,0.981
2,bird,1000,911,71,89,0.9276985743380856,0.911,0.9192734611503532,0.911
3,cat,1000,876,135,124,0.8664688427299704,0.876,0.8712083540527101,0.876
4,deer,1000,940,45,60,0.9543147208121827,0.94,0.947103274559194,0.94
5,dog,1000,902,83,98,0.915736040609137,0.902,0.9088161209068011,0.902
6,frog,1000,970,60,30,0.941747572815534,0.97,0.9556650246305418,0.97
7,horse,1000,958,38,42,0.9618473895582329,0.958,0.9599198396793587,0.958
8,ship,1000,953,23,47,0.9764344262295082,0.953,0.964574898785425,0.953
9,truck,1000,962,38,38,0.962,0.962,0.962,0.962
